directory,spcc,pcc,r2,rmse,mse,mae
deep_bpe_400,-0.7454,-0.533,-49.3258,8.2958,68.8206,8.2046
deep_unigram_3200,-0.4155,-0.4992,-34.9672,7.0132,49.1853,6.8935
deep_bpe_100,0.1596,0.2323,-54.3157,8.6974,75.6444,8.6219
esm1v_t33_650M_UR90S_3,0.2087,0.2567,-42.4745,7.7105,59.4515,7.6249
esm2_t12_35M_UR50D,0.1343,0.2012,-62.8857,9.3469,87.3639,9.2748
ProSST-128,-0.0367,0.0428,-43.9685,7.8418,61.4946,7.7543
prot_bert,-0.1228,-0.1276,-57.5271,8.9463,80.036,8.8691
deep_unigram_100,0.6603,0.5808,-47.4129,8.1366,66.2047,8.0637
prot_bert_bfd,-0.0982,-0.3224,-60.1736,9.1463,83.6551,9.0696
deep_bpe_1600,-0.3795,-0.4573,-6.2383,3.1462,9.8984,2.9165
esm1v_t33_650M_UR90S_4,-0.7243,-0.5149,-33.9692,6.9152,47.8205,6.7921
Prime_690M,0.6015,0.807,-50.6966,8.408,70.6952,8.3365
deep_unigram_50,-0.635,-0.6514,-43.6858,7.8172,61.1079,7.7045
deep_unigram_400,-0.7209,-0.7382,-51.3778,8.4633,71.6269,8.3614
esm2_t30_150M_UR50D,-0.5991,-0.4634,-55.4632,8.7871,77.2136,8.704
ProSST-512,0.0733,-0.1486,-43.8786,7.834,61.3716,7.7439
esm1b_t33_650M_UR50S,0.6752,0.5227,-42.8754,7.7459,59.9997,7.6708
ProSST-20,-0.832,-0.7955,-44.2759,7.8686,61.9149,7.7585
prot_t5_xl_bfd,0.0857,0.0494,-57.2449,8.9247,79.6501,8.8479
ProPrime_650M_OGT_Prediction,0.4788,0.7538,-52.2229,8.5313,72.7824,8.4632
deep_base,-0.281,-0.2081,-49.0497,8.273,68.4431,8.1758
deep_unigram_200,-0.6489,-0.6089,-44.6713,7.9029,62.4557,7.8004
esm1v_t33_650M_UR90S_5,-0.1596,-0.1182,-45.7137,7.9926,63.8811,7.8992
deep_bpe_50,-0.7219,-0.7375,-34.8631,7.0031,49.0429,6.8724
ProSST-4096,0.538,0.5711,-48.6645,8.2411,67.9164,8.1673
esm2_t6_8M_UR50D,0.5007,0.4274,-62.9864,9.3542,87.5016,9.2825
deep_bpe_3200,-0.6974,-0.7355,-38.4825,7.348,53.9924,7.2176
esm2_t33_650M_UR50D,0.5279,0.5642,-53.6814,8.6474,74.777,8.5732
ankh-large,-0.0734,-0.16,-61.1461,9.2187,84.985,9.1442
deep_unigram_800,-0.2692,-0.3675,-41.5161,7.625,58.1409,7.5189
deep_bpe_200,-0.7468,-0.6792,-45.7649,7.9969,63.9511,7.8881
deep_unigram_1600,0.5995,0.7128,-46.5063,8.0601,64.965,7.9841
esm1v_t33_650M_UR90S_1,-0.2823,-0.04,-39.2791,7.4217,55.0818,7.3216
deep_bpe_800,-0.3179,-0.4487,-46.8936,8.0929,65.4946,7.9932
esm1v_t33_650M_UR90S_2,0.4297,0.359,-57.6576,8.9562,80.2144,8.8881
ProSST-1024,0.4038,0.5628,-47.0759,8.1083,65.744,8.0338
ankh-base,-0.6383,-0.7245,-60.7928,9.1925,84.5018,9.1159
ProSST-2048,0.2933,0.2146,-51.7771,8.4955,72.1729,8.4166
prot_t5_xl_uniref50,0.0736,0.085,-59.3452,9.0842,82.5222,9.0091
